2021-06-10::12-54-47
*************** epoch:1 ***************
loss: 9.37852	cur:[0]\[10618]
loss: 1.87733	cur:[6000]\[10618]
loss: 1.88770	cur:[7000]\[10618]
loss: 1.85895	cur:[8000]\[10618]
loss: 1.86368	cur:[9000]\[10618]
loss: 1.87801	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.81129	cur:[250]\[1320]
loss: 1.90221	cur:[500]\[1320]
loss: 1.87643	cur:[750]\[1320]
loss: 1.85280	cur:[1000]\[1320]
loss: 1.85148	cur:[1250]\[1320]
epoch:5	bleu:0.00000
*************** epoch:6 ***************
loss: 1.86370	cur:[1000]\[10618]
loss: 1.83431	cur:[2000]\[10618]
loss: 1.82518	cur:[3000]\[10618]
loss: 1.81951	cur:[4000]\[10618]
loss: 1.82097	cur:[5000]\[10618]
loss: 1.82358	cur:[6000]\[10618]
loss: 1.81532	cur:[7000]\[10618]
loss: 1.80239	cur:[8000]\[10618]
loss: 1.81586	cur:[9000]\[10618]
loss: 1.81635	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.81323	cur:[250]\[1320]
loss: 1.80917	cur:[500]\[1320]
loss: 1.80486	cur:[750]\[1320]
loss: 1.84843	cur:[1000]\[1320]
loss: 1.83501	cur:[1250]\[1320]
epoch:6	bleu:0.02336
*************** epoch:7 ***************
loss: 1.79057	cur:[1000]\[10618]
loss: 1.79231	cur:[2000]\[10618]
loss: 1.78407	cur:[3000]\[10618]
loss: 1.77725	cur:[4000]\[10618]
loss: 1.76745	cur:[5000]\[10618]
loss: 1.76412	cur:[6000]\[10618]
loss: 1.76198	cur:[7000]\[10618]
loss: 1.76155	cur:[8000]\[10618]
loss: 1.74524	cur:[9000]\[10618]
loss: 1.75758	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.80872	cur:[250]\[1320]
loss: 1.80058	cur:[500]\[1320]
loss: 1.78048	cur:[750]\[1320]
loss: 1.81679	cur:[1000]\[1320]
loss: 1.79122	cur:[1250]\[1320]
epoch:7	bleu:0.00000
*************** epoch:8 ***************
loss: 1.73931	cur:[1000]\[10618]
loss: 1.72761	cur:[2000]\[10618]
loss: 1.73097	cur:[3000]\[10618]
loss: 1.73977	cur:[4000]\[10618]
loss: 1.71798	cur:[5000]\[10618]
loss: 1.70875	cur:[6000]\[10618]
loss: 1.72438	cur:[7000]\[10618]
loss: 1.74830	cur:[8000]\[10618]
loss: 1.70429	cur:[9000]\[10618]
loss: 1.70196	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.75301	cur:[250]\[1320]
loss: 1.72336	cur:[500]\[1320]
loss: 1.74454	cur:[750]\[1320]
loss: 1.77498	cur:[1000]\[1320]
loss: 1.75692	cur:[1250]\[1320]
save model at ./check_point5/best.pth
epoch:8	bleu:0.04152
*************** epoch:9 ***************
loss: 1.69940	cur:[1000]\[10618]
loss: 1.68438	cur:[2000]\[10618]
loss: 1.70873	cur:[3000]\[10618]
loss: 1.67337	cur:[4000]\[10618]
loss: 1.69913	cur:[5000]\[10618]
loss: 1.67833	cur:[6000]\[10618]
loss: 1.69312	cur:[7000]\[10618]
loss: 1.68613	cur:[8000]\[10618]
loss: 1.70416	cur:[9000]\[10618]
loss: 1.66721	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.70898	cur:[250]\[1320]
loss: 1.74367	cur:[500]\[1320]
loss: 1.73540	cur:[750]\[1320]
loss: 1.70359	cur:[1000]\[1320]
loss: 1.73025	cur:[1250]\[1320]
epoch:9	bleu:0.00000
*************** epoch:10 ***************
loss: 1.67387	cur:[1000]\[10618]
loss: 1.66184	cur:[2000]\[10618]
loss: 1.63686	cur:[3000]\[10618]
loss: 1.67757	cur:[4000]\[10618]
loss: 1.65613	cur:[5000]\[10618]
loss: 1.65140	cur:[6000]\[10618]
loss: 1.67199	cur:[7000]\[10618]
loss: 1.65183	cur:[8000]\[10618]
loss: 1.65674	cur:[9000]\[10618]
loss: 1.62673	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.69908	cur:[250]\[1320]
loss: 1.64781	cur:[500]\[1320]
loss: 1.67020	cur:[750]\[1320]
loss: 1.69921	cur:[1000]\[1320]
loss: 1.77640	cur:[1250]\[1320]
save model at ./check_point5/best.pth
save model at ./check_point5/epoch10.pth
epoch:10	bleu:0.05000
*************** epoch:11 ***************
loss: 1.64527	cur:[1000]\[10618]
loss: 1.62805	cur:[2000]\[10618]
loss: 1.62700	cur:[3000]\[10618]
loss: 1.62800	cur:[4000]\[10618]
loss: 1.62491	cur:[5000]\[10618]
loss: 1.61612	cur:[6000]\[10618]
loss: 1.61115	cur:[7000]\[10618]
loss: 1.65228	cur:[8000]\[10618]
loss: 1.59975	cur:[9000]\[10618]
loss: 1.63456	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.63230	cur:[250]\[1320]
loss: 1.65696	cur:[500]\[1320]
loss: 1.68989	cur:[750]\[1320]
loss: 1.69341	cur:[1000]\[1320]
loss: 1.67341	cur:[1250]\[1320]
save model at ./check_point5/best.pth
epoch:11	bleu:0.05000
*************** epoch:12 ***************
loss: 1.58243	cur:[1000]\[10618]
loss: 1.62018	cur:[2000]\[10618]
loss: 1.60250	cur:[3000]\[10618]
loss: 1.58346	cur:[4000]\[10618]
loss: 1.62022	cur:[5000]\[10618]
loss: 1.57877	cur:[6000]\[10618]
loss: 1.58128	cur:[7000]\[10618]
loss: 1.60235	cur:[8000]\[10618]
loss: 1.58798	cur:[9000]\[10618]
loss: 1.58867	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.66486	cur:[250]\[1320]
loss: 1.64308	cur:[500]\[1320]
loss: 1.67267	cur:[750]\[1320]
loss: 1.64784	cur:[1000]\[1320]
loss: 1.66671	cur:[1250]\[1320]
save model at ./check_point5/best.pth
epoch:12	bleu:0.05109
*************** epoch:13 ***************
loss: 1.56152	cur:[1000]\[10618]
loss: 1.58300	cur:[2000]\[10618]
loss: 1.59009	cur:[3000]\[10618]
loss: 1.59285	cur:[4000]\[10618]
loss: 1.56465	cur:[5000]\[10618]
loss: 1.55560	cur:[6000]\[10618]
loss: 1.56157	cur:[7000]\[10618]
loss: 1.55253	cur:[8000]\[10618]
loss: 1.55969	cur:[9000]\[10618]
loss: 1.56233	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.65901	cur:[250]\[1320]
loss: 1.63198	cur:[500]\[1320]
loss: 1.67816	cur:[750]\[1320]
loss: 1.61746	cur:[1000]\[1320]
loss: 1.65083	cur:[1250]\[1320]
epoch:13	bleu:0.00000
*************** epoch:14 ***************
loss: 1.54362	cur:[1000]\[10618]
loss: 1.57254	cur:[2000]\[10618]
loss: 1.55876	cur:[3000]\[10618]
loss: 1.53592	cur:[4000]\[10618]
loss: 1.56475	cur:[5000]\[10618]
loss: 1.54635	cur:[6000]\[10618]
loss: 1.53905	cur:[7000]\[10618]
loss: 1.52124	cur:[8000]\[10618]
loss: 1.52585	cur:[9000]\[10618]
loss: 1.52586	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.65119	cur:[250]\[1320]
loss: 1.61234	cur:[500]\[1320]
loss: 1.59901	cur:[750]\[1320]
loss: 1.64370	cur:[1000]\[1320]
loss: 1.65337	cur:[1250]\[1320]
epoch:14	bleu:0.03761
*************** epoch:15 ***************
loss: 1.52813	cur:[1000]\[10618]
loss: 1.54615	cur:[2000]\[10618]
loss: 1.53731	cur:[3000]\[10618]
loss: 1.52250	cur:[4000]\[10618]
loss: 1.50767	cur:[5000]\[10618]
loss: 1.50629	cur:[6000]\[10618]
loss: 1.51124	cur:[7000]\[10618]
loss: 1.47763	cur:[8000]\[10618]
loss: 1.51205	cur:[9000]\[10618]
loss: 1.53132	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.63336	cur:[250]\[1320]
loss: 1.62730	cur:[500]\[1320]
loss: 1.65556	cur:[750]\[1320]
loss: 1.62796	cur:[1000]\[1320]
loss: 1.61367	cur:[1250]\[1320]
save model at ./check_point5/best.pth
epoch:15	bleu:0.07320
*************** epoch:16 ***************
loss: 1.49764	cur:[1000]\[10618]
loss: 1.50972	cur:[2000]\[10618]
loss: 1.52652	cur:[3000]\[10618]
loss: 1.50163	cur:[4000]\[10618]
loss: 1.49020	cur:[5000]\[10618]
loss: 1.51163	cur:[6000]\[10618]
loss: 1.49078	cur:[7000]\[10618]
loss: 1.49874	cur:[8000]\[10618]
loss: 1.50169	cur:[9000]\[10618]
loss: 1.51473	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.62033	cur:[250]\[1320]
loss: 1.61947	cur:[500]\[1320]
loss: 1.59740	cur:[750]\[1320]
loss: 1.59217	cur:[1000]\[1320]
loss: 1.63371	cur:[1250]\[1320]
epoch:16	bleu:0.05818
*************** epoch:17 ***************
loss: 1.50549	cur:[1000]\[10618]
loss: 1.48597	cur:[2000]\[10618]
loss: 1.48109	cur:[3000]\[10618]
loss: 1.48797	cur:[4000]\[10618]
loss: 1.47285	cur:[5000]\[10618]
loss: 1.49023	cur:[6000]\[10618]
loss: 1.47348	cur:[7000]\[10618]
loss: 1.46145	cur:[8000]\[10618]
loss: 1.49236	cur:[9000]\[10618]
loss: 1.46853	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.58237	cur:[250]\[1320]
loss: 1.60483	cur:[500]\[1320]
loss: 1.59993	cur:[750]\[1320]
loss: 1.60002	cur:[1000]\[1320]
loss: 1.56362	cur:[1250]\[1320]
save model at ./check_point5/best.pth
epoch:17	bleu:0.08303
*************** epoch:18 ***************
loss: 1.49460	cur:[1000]\[10618]
loss: 1.47024	cur:[2000]\[10618]
loss: 1.47570	cur:[3000]\[10618]
loss: 1.45607	cur:[4000]\[10618]
loss: 1.46669	cur:[5000]\[10618]
loss: 1.46759	cur:[6000]\[10618]
loss: 1.45751	cur:[7000]\[10618]
loss: 1.46573	cur:[8000]\[10618]
loss: 1.46217	cur:[9000]\[10618]
loss: 1.44685	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.57219	cur:[250]\[1320]
loss: 1.56568	cur:[500]\[1320]
loss: 1.55107	cur:[750]\[1320]
loss: 1.60760	cur:[1000]\[1320]
loss: 1.56267	cur:[1250]\[1320]
epoch:18	bleu:0.02056
*************** epoch:19 ***************
loss: 1.46203	cur:[1000]\[10618]
loss: 1.45892	cur:[2000]\[10618]
loss: 1.44440	cur:[3000]\[10618]
loss: 1.45115	cur:[4000]\[10618]
loss: 1.44405	cur:[5000]\[10618]
loss: 1.41966	cur:[6000]\[10618]
loss: 1.45441	cur:[7000]\[10618]
loss: 1.40615	cur:[8000]\[10618]
loss: 1.43375	cur:[9000]\[10618]
loss: 1.42367	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.60064	cur:[250]\[1320]
loss: 1.59713	cur:[500]\[1320]
loss: 1.56253	cur:[750]\[1320]
loss: 1.50496	cur:[1000]\[1320]
loss: 1.54769	cur:[1250]\[1320]
epoch:19	bleu:0.02412
*************** epoch:20 ***************
loss: 1.46006	cur:[1000]\[10618]
loss: 1.45495	cur:[2000]\[10618]
loss: 1.40991	cur:[3000]\[10618]
loss: 1.45237	cur:[4000]\[10618]
loss: 1.42229	cur:[5000]\[10618]
loss: 1.43413	cur:[6000]\[10618]
loss: 1.43167	cur:[7000]\[10618]
loss: 1.41465	cur:[8000]\[10618]
loss: 1.41451	cur:[9000]\[10618]
loss: 1.42729	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.55426	cur:[250]\[1320]
loss: 1.53947	cur:[500]\[1320]
loss: 1.57807	cur:[750]\[1320]
loss: 1.53192	cur:[1000]\[1320]
loss: 1.57208	cur:[1250]\[1320]
save model at ./check_point5/epoch20.pth
epoch:20	bleu:0.00000
*************** epoch:21 ***************
loss: 1.42778	cur:[1000]\[10618]
loss: 1.40531	cur:[2000]\[10618]
loss: 1.40506	cur:[3000]\[10618]
loss: 1.42301	cur:[4000]\[10618]
loss: 1.42161	cur:[5000]\[10618]
loss: 1.42647	cur:[6000]\[10618]
loss: 1.43389	cur:[7000]\[10618]
loss: 1.39434	cur:[8000]\[10618]
loss: 1.40748	cur:[9000]\[10618]
loss: 1.40699	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.57419	cur:[250]\[1320]
loss: 1.56951	cur:[500]\[1320]
loss: 1.54354	cur:[750]\[1320]
loss: 1.52750	cur:[1000]\[1320]
loss: 1.52451	cur:[1250]\[1320]
epoch:21	bleu:0.00000
*************** epoch:22 ***************
loss: 1.39550	cur:[1000]\[10618]
loss: 1.41391	cur:[2000]\[10618]
loss: 1.41129	cur:[3000]\[10618]
loss: 1.38351	cur:[4000]\[10618]
loss: 1.39446	cur:[5000]\[10618]
loss: 1.40096	cur:[6000]\[10618]
loss: 1.40211	cur:[7000]\[10618]
loss: 1.39662	cur:[8000]\[10618]
loss: 1.38262	cur:[9000]\[10618]
loss: 1.38563	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.55288	cur:[250]\[1320]
loss: 1.58846	cur:[500]\[1320]
loss: 1.54303	cur:[750]\[1320]
loss: 1.57380	cur:[1000]\[1320]
loss: 1.50131	cur:[1250]\[1320]
epoch:22	bleu:0.01175
*************** epoch:23 ***************
loss: 1.38003	cur:[1000]\[10618]
loss: 1.36512	cur:[2000]\[10618]
loss: 1.39078	cur:[3000]\[10618]
loss: 1.38413	cur:[4000]\[10618]
loss: 1.37864	cur:[5000]\[10618]
loss: 1.38318	cur:[6000]\[10618]
loss: 1.38093	cur:[7000]\[10618]
loss: 1.39119	cur:[8000]\[10618]
loss: 1.36757	cur:[9000]\[10618]
loss: 1.38756	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.51849	cur:[250]\[1320]
loss: 1.56105	cur:[500]\[1320]
loss: 1.55332	cur:[750]\[1320]
loss: 1.57650	cur:[1000]\[1320]
loss: 1.54659	cur:[1250]\[1320]
epoch:23	bleu:0.00000
*************** epoch:24 ***************
loss: 1.36025	cur:[1000]\[10618]
loss: 1.38783	cur:[2000]\[10618]
loss: 1.36752	cur:[3000]\[10618]
loss: 1.34820	cur:[4000]\[10618]
loss: 1.35525	cur:[5000]\[10618]
loss: 1.36165	cur:[6000]\[10618]
loss: 1.37501	cur:[7000]\[10618]
loss: 1.38854	cur:[8000]\[10618]
loss: 1.36298	cur:[9000]\[10618]
loss: 1.35199	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.52055	cur:[250]\[1320]
loss: 1.47723	cur:[500]\[1320]
loss: 1.55762	cur:[750]\[1320]
loss: 1.57096	cur:[1000]\[1320]
loss: 1.56509	cur:[1250]\[1320]
epoch:24	bleu:0.03651
*************** epoch:25 ***************
loss: 1.34438	cur:[1000]\[10618]
loss: 1.36743	cur:[2000]\[10618]
loss: 1.35893	cur:[3000]\[10618]
loss: 1.33939	cur:[4000]\[10618]
loss: 1.37386	cur:[5000]\[10618]
loss: 1.32498	cur:[6000]\[10618]
loss: 1.35839	cur:[7000]\[10618]
loss: 1.32506	cur:[8000]\[10618]
loss: 1.33619	cur:[9000]\[10618]
loss: 1.33967	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.57428	cur:[250]\[1320]
loss: 1.49089	cur:[500]\[1320]
loss: 1.57800	cur:[750]\[1320]
loss: 1.55833	cur:[1000]\[1320]
loss: 1.52260	cur:[1250]\[1320]
epoch:25	bleu:0.00000
*************** epoch:26 ***************
loss: 1.34923	cur:[1000]\[10618]
loss: 1.34572	cur:[2000]\[10618]
loss: 1.33701	cur:[3000]\[10618]
loss: 1.34244	cur:[4000]\[10618]
loss: 1.33863	cur:[5000]\[10618]
loss: 1.32369	cur:[6000]\[10618]
loss: 1.32270	cur:[7000]\[10618]
loss: 1.32313	cur:[8000]\[10618]
loss: 1.31693	cur:[9000]\[10618]
loss: 1.31739	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.50271	cur:[250]\[1320]
loss: 1.59000	cur:[500]\[1320]
loss: 1.52199	cur:[750]\[1320]
loss: 1.52197	cur:[1000]\[1320]
loss: 1.53472	cur:[1250]\[1320]
epoch:26	bleu:0.00000
*************** epoch:27 ***************
loss: 1.33773	cur:[1000]\[10618]
loss: 1.32519	cur:[2000]\[10618]
loss: 1.29489	cur:[3000]\[10618]
loss: 1.34103	cur:[4000]\[10618]
loss: 1.31606	cur:[5000]\[10618]
loss: 1.30601	cur:[6000]\[10618]
loss: 1.31717	cur:[7000]\[10618]
loss: 1.33692	cur:[8000]\[10618]
loss: 1.30978	cur:[9000]\[10618]
loss: 1.30946	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.52501	cur:[250]\[1320]
loss: 1.51108	cur:[500]\[1320]
loss: 1.50180	cur:[750]\[1320]
loss: 1.56465	cur:[1000]\[1320]
loss: 1.51291	cur:[1250]\[1320]
epoch:27	bleu:0.07778
*************** epoch:28 ***************
loss: 1.28663	cur:[1000]\[10618]
loss: 1.32347	cur:[2000]\[10618]
loss: 1.33180	cur:[3000]\[10618]
loss: 1.33080	cur:[4000]\[10618]
loss: 1.31516	cur:[5000]\[10618]
loss: 1.32846	cur:[6000]\[10618]
loss: 1.31723	cur:[7000]\[10618]
loss: 1.30818	cur:[8000]\[10618]
loss: 1.31079	cur:[9000]\[10618]
loss: 1.28543	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.47299	cur:[250]\[1320]
loss: 1.55105	cur:[500]\[1320]
loss: 1.52000	cur:[750]\[1320]
loss: 1.56565	cur:[1000]\[1320]
loss: 1.56616	cur:[1250]\[1320]
epoch:28	bleu:0.04618
*************** epoch:29 ***************
loss: 1.30450	cur:[1000]\[10618]
loss: 1.30655	cur:[2000]\[10618]
loss: 1.27745	cur:[3000]\[10618]
loss: 1.28793	cur:[4000]\[10618]
loss: 1.28430	cur:[5000]\[10618]
loss: 1.31021	cur:[6000]\[10618]
loss: 1.29138	cur:[7000]\[10618]
loss: 1.29681	cur:[8000]\[10618]
loss: 1.29069	cur:[9000]\[10618]
loss: 1.28968	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.50071	cur:[250]\[1320]
loss: 1.54629	cur:[500]\[1320]
loss: 1.45573	cur:[750]\[1320]
loss: 1.49630	cur:[1000]\[1320]
loss: 1.47921	cur:[1250]\[1320]
save model at ./check_point5/best.pth
epoch:29	bleu:0.10000
*************** epoch:30 ***************
loss: 1.28915	cur:[1000]\[10618]
loss: 1.29593	cur:[2000]\[10618]
loss: 1.29808	cur:[3000]\[10618]
loss: 1.29266	cur:[4000]\[10618]
loss: 1.28218	cur:[5000]\[10618]
loss: 1.27768	cur:[6000]\[10618]
loss: 1.29273	cur:[7000]\[10618]
loss: 1.28230	cur:[8000]\[10618]
loss: 1.25898	cur:[9000]\[10618]
loss: 1.28024	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.51372	cur:[250]\[1320]
loss: 1.54849	cur:[500]\[1320]
loss: 1.52472	cur:[750]\[1320]
loss: 1.53346	cur:[1000]\[1320]
loss: 1.51707	cur:[1250]\[1320]
save model at ./check_point5/epoch30.pth
epoch:30	bleu:0.07895
*************** epoch:31 ***************
loss: 1.26201	cur:[1000]\[10618]
loss: 1.29806	cur:[2000]\[10618]
loss: 1.27582	cur:[3000]\[10618]
loss: 1.26401	cur:[4000]\[10618]
loss: 1.26265	cur:[5000]\[10618]
loss: 1.27679	cur:[6000]\[10618]
loss: 1.29328	cur:[7000]\[10618]
loss: 1.25481	cur:[8000]\[10618]
loss: 1.29043	cur:[9000]\[10618]
loss: 1.25128	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.50622	cur:[250]\[1320]
loss: 1.47720	cur:[500]\[1320]
loss: 1.50209	cur:[750]\[1320]
loss: 1.48419	cur:[1000]\[1320]
loss: 1.48838	cur:[1250]\[1320]
epoch:31	bleu:0.02056
*************** epoch:32 ***************
loss: 1.26135	cur:[1000]\[10618]
loss: 1.26132	cur:[2000]\[10618]
loss: 1.25837	cur:[3000]\[10618]
loss: 1.26709	cur:[4000]\[10618]
loss: 1.27446	cur:[5000]\[10618]
loss: 1.24931	cur:[6000]\[10618]
loss: 1.27317	cur:[7000]\[10618]
loss: 1.26232	cur:[8000]\[10618]
loss: 1.26840	cur:[9000]\[10618]
loss: 1.25346	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.49762	cur:[250]\[1320]
loss: 1.48750	cur:[500]\[1320]
loss: 1.51510	cur:[750]\[1320]
loss: 1.53851	cur:[1000]\[1320]
loss: 1.48110	cur:[1250]\[1320]
epoch:32	bleu:0.02399
*************** epoch:33 ***************
loss: 1.26193	cur:[1000]\[10618]
loss: 1.26210	cur:[2000]\[10618]
loss: 1.23965	cur:[3000]\[10618]
loss: 1.23995	cur:[4000]\[10618]
loss: 1.24589	cur:[5000]\[10618]
loss: 1.25482	cur:[6000]\[10618]
loss: 1.22896	cur:[7000]\[10618]
loss: 1.23352	cur:[8000]\[10618]
loss: 1.25851	cur:[9000]\[10618]
loss: 1.24523	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.49489	cur:[250]\[1320]
loss: 1.53847	cur:[500]\[1320]
loss: 1.46703	cur:[750]\[1320]
loss: 1.44437	cur:[1000]\[1320]
loss: 1.48594	cur:[1250]\[1320]
epoch:33	bleu:0.09141
*************** epoch:34 ***************
loss: 1.23458	cur:[1000]\[10618]
loss: 1.25293	cur:[2000]\[10618]
loss: 1.24213	cur:[3000]\[10618]
loss: 1.22843	cur:[4000]\[10618]
loss: 1.22466	cur:[5000]\[10618]
loss: 1.25487	cur:[6000]\[10618]
loss: 1.24625	cur:[7000]\[10618]
loss: 1.23878	cur:[8000]\[10618]
loss: 1.25255	cur:[9000]\[10618]
loss: 1.21794	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.52520	cur:[250]\[1320]
loss: 1.49825	cur:[500]\[1320]
loss: 1.46337	cur:[750]\[1320]
loss: 1.55140	cur:[1000]\[1320]
loss: 1.52007	cur:[1250]\[1320]
epoch:34	bleu:0.00000
*************** epoch:35 ***************
loss: 1.23042	cur:[1000]\[10618]
loss: 1.25228	cur:[2000]\[10618]
loss: 1.23040	cur:[3000]\[10618]
loss: 1.21201	cur:[4000]\[10618]
loss: 1.23505	cur:[5000]\[10618]
loss: 1.20444	cur:[6000]\[10618]
loss: 1.21236	cur:[7000]\[10618]
loss: 1.22460	cur:[8000]\[10618]
loss: 1.21648	cur:[9000]\[10618]
loss: 1.21954	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.48969	cur:[250]\[1320]
loss: 1.50033	cur:[500]\[1320]
loss: 1.52353	cur:[750]\[1320]
loss: 1.53889	cur:[1000]\[1320]
loss: 1.48837	cur:[1250]\[1320]
epoch:35	bleu:0.02973
*************** epoch:36 ***************
loss: 1.21690	cur:[1000]\[10618]
loss: 1.23595	cur:[2000]\[10618]
loss: 1.22011	cur:[3000]\[10618]
loss: 1.22722	cur:[4000]\[10618]
loss: 1.22422	cur:[5000]\[10618]
loss: 1.19659	cur:[6000]\[10618]
loss: 1.22789	cur:[7000]\[10618]
loss: 1.21005	cur:[8000]\[10618]
loss: 1.20200	cur:[9000]\[10618]
loss: 1.20458	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.44201	cur:[250]\[1320]
loss: 1.52002	cur:[500]\[1320]
loss: 1.53169	cur:[750]\[1320]
loss: 1.49364	cur:[1000]\[1320]
loss: 1.47216	cur:[1250]\[1320]
epoch:36	bleu:0.01585
*************** epoch:37 ***************
loss: 1.20086	cur:[1000]\[10618]
loss: 1.23298	cur:[2000]\[10618]
loss: 1.21328	cur:[3000]\[10618]
loss: 1.22173	cur:[4000]\[10618]
loss: 1.19263	cur:[5000]\[10618]
loss: 1.19701	cur:[6000]\[10618]
loss: 1.22631	cur:[7000]\[10618]
loss: 1.21564	cur:[8000]\[10618]
loss: 1.20466	cur:[9000]\[10618]
loss: 1.18394	cur:[10000]\[10618]
--------------- Evaluation ---------------
loss: 1.50226	cur:[250]\[1320]
loss: 1.49500	cur:[500]\[1320]
loss: 1.48383	cur:[750]\[1320]
loss: 1.43207	cur:[1000]\[1320]
loss: 1.51989	cur:[1250]\[1320]
epoch:37	bleu:0.00000
*************** epoch:38 ***************
loss: 1.21484	cur:[1000]\[10618]
loss: 1.20772	cur:[2000]\[10618]
